AccessLog[ip=10.244.0.5, dataHora=2026-03-18T12:23:19, metodo=POST, url=/api/v1/orders, status=404, tempoResposta=2594]
AccessLog[ip=200.150.50.30, dataHora=2026-03-18T12:29:17, metodo=GET, url=/api/v1/payments/process, status=502, tempoResposta=717]
AccessLog[ip=192.168.1.200, dataHora=2026-03-18T12:23:10, metodo=GET, url=/api/v1/payments/status, status=401, tempoResposta=553]
AccessLog[ip=127.0.0.1, dataHora=2026-03-18T12:49:57, metodo=POST, url=/api/v1/payments/12345, status=200, tempoResposta=776]
AccessLog[ip=2804:14d:4c40::1, dataHora=2026-03-18T12:20:30, metodo=PUT, url=/health, status=204, tempoResposta=3135]
AccessLog[ip=198.51.100.25, dataHora=2026-03-18T12:59:34, metodo=POST, url=/api/v1/payments, status=502, tempoResposta=186]
AccessLog[ip=172.16.0.1, dataHora=2026-03-18T12:23:15, metodo=GET, url=/api/v1/payments/process, status=502, tempoResposta=2549]
AccessLog[ip=192.168.1.200, dataHora=2026-03-18T12:54:57, metodo=GET, url=/api/v1/payments/12345, status=500, tempoResposta=1879]
AccessLog[ip=203.0.113.50, dataHora=2026-03-18T12:39:01, metodo=DELETE, url=/api/v1/payments, status=204, tempoResposta=1136]
AccessLog[ip=200.150.50.30, dataHora=2026-03-18T12:10:41, metodo=POST, url=/api/v1/payments/process, status=204, tempoResposta=1290]
AccessLog[ip=10.244.0.5, dataHora=2026-03-18T12:40:28, metodo=PUT, url=/api/v1/payments/process, status=201, tempoResposta=4929]
